Opioid Data Dashboard Indicator,Data Year,Group,Characteristics,Rate Rate (95% CI),Data Source
"Opioid analgesics prescription, crude rate per 1,000 population",2014,Age Group by Sex,Male & 55 - 64 years,883.2,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2014,Age Group by Sex,Male & 55 - 64 years,883.2,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2014,Age Group by Sex,Male & 65+ years,734.3,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2014,Age Group by Sex,Male & 65+ years,734.3,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2014,Region,NYS Excl NYC,604.6,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2014,Region,NYS Excl NYC,604.6,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2014,Region,New York City,322.2,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2014,Region,New York City,322.2,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2014,Sex,Female,535.9,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2014,Sex,Female,535.9,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2014,Sex,Male,427.9,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2014,Sex,Male,427.9,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2014,Total,New York State,483.5,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2014,Total,New York State,483.5,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2015,Age Group,18 - 24 years,156.6,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2015,Age Group,18 - 24 years,156.6,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2015,Age Group,25 - 34 years,313.2,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2015,Age Group,25 - 34 years,313.2,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2015,Age Group,35 - 44 years,508.1,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2015,Age Group,35 - 44 years,508.1,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2015,Age Group,45 - 54 years,765,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2015,Age Group,45 - 54 years,765,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2015,Age Group,55 - 64 years,907,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2015,Age Group,55 - 64 years,907,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2015,Age Group,65+ years,853,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2015,Age Group,65+ years,853,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2015,Age Group by Sex,Female & 18 - 24 years,183.8,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2015,Age Group by Sex,Female & 18 - 24 years,183.8,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2015,Age Group by Sex,Female & 25 - 34 years,366.3,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2015,Age Group by Sex,Female & 25 - 34 years,366.3,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2015,Age Group by Sex,Female & 35 - 44 years,557.4,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2015,Age Group by Sex,Female & 35 - 44 years,557.4,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2015,Age Group by Sex,Female & 45 - 54 years,808.9,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2015,Age Group by Sex,Female & 45 - 54 years,808.9,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2015,Age Group by Sex,Female & 55 - 64 years,916.4,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2015,Age Group by Sex,Female & 55 - 64 years,916.4,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2015,Age Group by Sex,Female & 65+ years,937,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2015,Age Group by Sex,Female & 65+ years,937,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2015,Age Group by Sex,Male & 18 - 24 years,129.7,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2015,Age Group by Sex,Male & 18 - 24 years,129.7,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2015,Age Group by Sex,Male & 25 - 34 years,259.5,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2015,Age Group by Sex,Male & 25 - 34 years,259.5,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2015,Age Group by Sex,Male & 35 - 44 years,456.9,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2015,Age Group by Sex,Male & 35 - 44 years,456.9,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2015,Age Group by Sex,Male & 45 - 54 years,718.6,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2015,Age Group by Sex,Male & 45 - 54 years,718.6,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2015,Age Group by Sex,Male & 55 - 64 years,896.6,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2015,Age Group by Sex,Male & 55 - 64 years,896.6,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2015,Age Group by Sex,Male & 65+ years,739.4,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2015,Age Group by Sex,Male & 65+ years,739.4,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2015,Region,NYS Excl NYC,606.1,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2015,Region,NYS Excl NYC,606.1,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2015,Region,New York City,319.4,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2015,Region,New York City,319.4,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2015,Sex,Female,534.3,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2015,Sex,Female,534.3,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2015,Sex,Male,428.2,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2015,Sex,Male,428.2,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2015,Total,New York State,482.8,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2015,Total,New York State,482.8,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2016,Age Group,18 - 24 years,132.3,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2016,Age Group,18 - 24 years,132.3,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2016,Age Group,25 - 34 years,266.3,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2016,Age Group,25 - 34 years,266.3,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2016,Age Group,35 - 44 years,465.4,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2016,Age Group,35 - 44 years,465.4,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2016,Age Group,45 - 54 years,708.8,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2016,Age Group,45 - 54 years,708.8,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2016,Age Group,55 - 64 years,888.8,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2016,Age Group,55 - 64 years,888.8,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2016,Age Group,65+ years,837.1,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2016,Age Group,65+ years,837.1,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2016,Age Group by Sex,Female & 18 - 24 years,155.5,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2016,Age Group by Sex,Female & 18 - 24 years,155.5,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2016,Age Group by Sex,Female & 25 - 34 years,313.8,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2016,Age Group by Sex,Female & 25 - 34 years,313.8,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2016,Age Group by Sex,Female & 35 - 44 years,514.4,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2016,Age Group by Sex,Female & 35 - 44 years,514.4,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2016,Age Group by Sex,Female & 45 - 54 years,751.3,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2016,Age Group by Sex,Female & 45 - 54 years,751.3,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2016,Age Group by Sex,Female & 55 - 64 years,890,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2016,Age Group by Sex,Female & 55 - 64 years,890,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2016,Age Group by Sex,Female & 65+ years,889.9,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2016,Age Group by Sex,Female & 65+ years,889.9,Data Source: NYS PMP Data as of April 2024
